# ---------- Training Data(訓練データ) ----------
# Japanese-Style(和風)
0001,cp,Japanese,Chiken and Egg Rice Bowl(鶏もも肉親子丼),5450423
0002,cp,Japanese,Udon noodles with Deep fried Tofu(きつねうどん),5354974
0003,cp,Japanese,Clear Soup with Kamaboko fish cakes(かまぼこのお吸い物),5440394
0004,cp,Japanese,Yuzu Petter Pasta with Pork Cabbege(豚肉とキャベツのゆず胡椒和風パスタ),5402300
0005,cp,Japanese,Beef and Potato Stew(肉じゃが),5467686
0006,cp,Japanese,Soy-Marinated Tuna Rice Bowl(マグロの漬け丼),5433554
0509,cp,Japanese,和風ハンバーグしそおろしポン酢ソース,5145305
0008,cp,Japanese,Japanese Appetizer with Chinese yam and Umeboshi(salt picked plums)(長芋と梅干しのおつまみ),5536494
0009,cp,Japanese,Wasabi Dressing(わさび醤油和風ドレッシング),5354638
0010,cp,Japanese,Ponzu Sauce(ポン酢風味和風ドレッシング),5079835
0011,cp,Japanese,Beef and Potato Stew(肉じゃが),5514891
0012,cp,Japanese,Simmered Taro(里芋の煮物),5391208
0501,cp,Japanese,きのこで和風パスタ,5263751
0014,cp,Japanese,Sauteed and simmered burdock root(きんぴらごぼう),5519817
0015,cp,Japanese,Seasoned Rice with vegetables(秋のかやくご飯),4778416
0016,cp,Japanese,Simmered Flounder(カレイの煮付け),5521220
0017,cp,Japanese,Ginger Pork(生姜焼き),5347183
0018,cp,Japanese,Fishcake and vegetable stew(おでん),3088812
0019,cp,Japanese,Kansai style Seasoned Rice(関西風かやくご飯),1410234
0507,cp,Japanese,和風カルパッチョ,5346004
0021,cp,Japanese,Pork and Vegetable Soup(豚汁),5396323
0022,cp,Japanese,Grated yam rice with Tuna sashimi(マグロの麦とろごはん),2381815
0023,cp,Japanese,Miso Soup with Vegetable(大根ときざみ揚げのお味噌汁),5439132
0024,cp,Japanese,Sumo Wresler's Hot Pot(ちゃんこ鍋),5485511
0025,cp,Japanese,Yellowtail Teriyaki(ぶりの照り焼き),5562836

# Chinese-Style(中華風)
1001,cp,Chinese,Chinese Hot Pot(一人鍋、中華風),4882532
1002,cp,Chinese,Chinese Soup with Egg(もやしと卵の中華風スープ),5352876
1003,cp,Chinese,Chinese Soup with Potato noodle(鶏だんごと春雨の中華風スープ),5239427
1004,cp,Chinese,Chinese Hot Pot with Scallop(帆立と白菜の中華風クリーム鍋),5323647
1005,cp,Chinese,Chinese Hot Pot with Chicken(中華風鶏白菜鍋),4285210
1006,cp,Chinese,Chinese Hot Pot with Garlic(にんにくたっぷり中華風鍋),5044433
1007,cp,Chinese,Chinese Hot Pot with Pork(豚バラもやしの中華風鍋),4967130
1008,cp,Chinese,Chinese Hot Pot with Salmon(鮭と白菜のピリ辛中華風鍋,4697221
1009,cp,Chinese,Potato Noodle Salad(中華風春雨サラダ),5428526
1010,cp,Chinese,Chinese Salad with Cucumber(きゅうりとツナとわかめの中華サラダ),5414222
