# ---------- 訓練データ ----------
# 和風
0001,cp,Japanese,きのこで和風パスタ,5263751
0002,cp,Japanese,ツナとほうれん草の和風クリームパスタ,5414766
0003,cp,Japanese,さっぱり和風醤油パスタ,5394668
0004,cp,Japanese,豚肉とキャベツのゆず胡椒和風パスタ,5402300
0005,cp,Japanese,イワシ味付け缶使用簡単和風スパゲティ,5411353
0006,cp,Japanese,和風煮込みハンバーグ,5348438
0007,cp,Japanese,和風ハンバーグしそおろしポン酢ソース,5145305
0008,cp,Japanese,わさび醤油和風ドレッシング,5354638
0009,cp,Japanese,ポン酢風味の和風ドレッシング,5079835
0010,cp,Japanese,簡単ごま油で和風ドレッシング,4986256
# 中華風
1001,cp,Chinese,簡単 誰でもできる一人鍋、中華風,4882532
1002,cp,Chinese,もやしと卵の中華風スープ,5352876
1003,cp,Chinese,鶏だんごと春雨の中華風スープ〜無化調,5239427
1004,cp,Chinese,帆立と白菜の中華風クリーム鍋,5323647
1005,cp,Chinese,中華風鶏白菜鍋,4285210
1006,cp,Chinese,男のにんにくたっぷり中華風鍋,5044433
1007,cp,Chinese,豚バラもやしの中華風鍋,4967130
1008,cp,Chinese,鮭と白菜のピリ辛中華風鍋,4697221
1009,cp,Chinese,中華風 春雨サラダ,5428526
1010,cp,Chinese,きゅうりとツナとわかめの中華サラダ,5414222
# スペイン風
2001,cp,Spanish,スキレットでスペイン風オムレツ,5221228
2002,cp,Spanish,オーブンでスペイン風オムレツ,4987833
2003,cp,Spanish,炊飯器でスペイン風オムレツ,5065776
2004,cp,Spanish,豆腐でふんわり スペイン風オムレツ,5314606
2005,cp,Spanish,カルドソ（スペイン風スパイシーおじや）,5157134
2006,cp,Spanish,余った野菜で簡単スペイン風サラダ,5428758
2007,cp,Spanish,きのこたっぷりスペイン風オープンオムレツ,5325588
2008,cp,Spanish,イカのわた炒め煮・スペイン風,5321985
2009,cp,Spanish,スペイン風タラのニンニク塩麹スープ,5140016
2010,cp,Spanish,鶏肉のトマト煮スペイン風,4879094
# ベトナム風
3001,cp,Vietnamese,ベトナム風揚げ春巻き,5119637
3002,cp,Vietnamese,ベトナム風牛肉サラダ,5274020
3003,cp,Vietnamese,ベトナム風レモングラスチキンBBQ,5239748
3004,cp,Vietnamese,ベトナム風きのこと鶏肉のピーナッツサラダ,5193279
3005,cp,Vietnamese,ベトナム風豚角煮,5165171
3006,cp,Vietnamese,ベトナム風生春巻き,5138464
3007,cp,Vietnamese,ベトナム風お好み焼き 簡単バインセオ,4934765
3008,cp,Vietnamese,ベトナム風揚げ春巻き チャーゾー,4226493
3009,cp,Vietnamese,ベトナム風お好み焼き,4921238
3010,cp,Vietnamese,野菜たっぷりベトナム風香菜サラダ,4560124

# ---------- 検証データ ----------
# 和風
0501,cp,Japanese,肉じゃが,5467686
# 中華風
1501,cp,Chinese,豚バラもやしの中華あん,5425182
# スペイン風
# ベトナム風
3501,cp,Vietnamese,ベトナム風生春巻き,5138464
